"","tree_id","species_common","species_scientific","stump_diameter","height","crown_diameter","closest_address","geometry"
"44",2912927,"Shumard's oak","Quercus shumardii",6,35.8268,16.5929,"915 EAST 179 STREET",c(-73.8825339445166, 40.8434314265884)
"45",4643158,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"2692 EAST 66 STREET",c(-73.9106603578795, 40.6062520137917)
"46",4602395,"Sweetgum","Liquidambar styraciflua",6,41.8916,14.3357,"530 76 STREET",c(-74.0221414065101, 40.6281962833803)
"47",2548721,"Common hackberry","Celtis occidentalis",7,37.0953196825374,19.1882,"281 EAST 241 STREET",c(-73.8684100782663, 40.9016202050601)
"48",12344592,"Northern red oak","Quercus rubra",2,21.0885,10.067,"1320 ODELL STREET",c(-73.8539639873602, 40.8349505670227)
"49",967092,"Thornless honeylocust","Gleditsia triacanthos var. inermis",14,54.1473413361007,28.2313,"85-032 66 ROAD",c(-73.8617701113069, 40.7182318906102)
"50",2622768,"Pin oak","Quercus palustris",25,84.230291571924,43.9654,"64 KELL AVENUE",c(-74.1351243732367, 40.6117133701638)
"51",11170253,"Pin oak","Quercus palustris",4,27.6473074125376,14.4835,"180 EAST 118 STREET",c(-73.9395016912775, 40.7994336279358)
"52",4624935,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"2039 EAST 60 STREET",c(-73.9160909337579, 40.615102583316)
"53",4125918,"Japanese pagoda tree","Styphnolobium japonicum",22,70.3892842998779,34.5497,"133-20 SUTTER AVENUE",c(-73.8044789423867, 40.6719570329027)
"54",4021705,"Ginkgo","Ginkgo biloba",12,51.3536,27.7742,"167-08 140 AVENUE",c(-73.7725718472907, 40.6708169383939)
"55",4650185,"Norway maple","Acer platanoides",9,36.6173299177435,23.1775,"28-03 208 STREET",c(-73.7824964234872, 40.7746267184688)
"56",2496061,"Pin oak","Quercus palustris",20,73.5456019919823,37.8259,"42-20 158 STREET",c(-73.8077534203831, 40.7603413001704)
"57",17028604,"American elm","Ulmus americana",3,23.0339409899832,11.7224,"70-025 YELLOWSTONE BOULEVARD",c(-73.8498160294351, 40.7225975590489)
"58",2418850,"London planetree","Platanus x acerifolia",26,72.4199307836137,48.5557,"541 GEORGIA AVENUE",c(-73.8956182808212, 40.6632431227119)
"59",17031058,"Bur oak","Quercus macrocarpa",3,24.3611,11.2373,"111-05 111 STREET",c(-73.8280098600782, 40.6783844651881)
"60",2490773,"Thornless honeylocust","Gleditsia triacanthos var. inermis",19,64.6476906327177,32.6963,"18-22 126 STREET",c(-73.8422747913091, 40.7825493053855)
"61",11258219,"Yoshino cherry","Prunus x yedoensis",3,20.5437,11.5468,"1439 EAST 9 STREET",c(-73.9650625491858, 40.6138735284976)
"62",10493500,"Japanese pagoda tree","Styphnolobium japonicum",11,47.0748277900302,24.7267,"857 HORNADAY PLACE",c(-73.882542518069, 40.8467635119485)
"63",2506320,"Japanese flowering cherry","Prunus serrulata",6,32.2827,16.5418,"1425 GRANADA PLACE",c(-73.7653021969711, 40.6099749233516)
"64",1406359,"Japanese flowering cherry","Prunus serrulata",4,24.6579,13.2772,"143-16 11 AVENUE",c(-73.825037456277, 40.7889471125003)
"65",4602471,"Amur maackia","Maackia amurensis",3,22.1455056861358,12.3539,"735 NORTH BURGHER AVENUE",c(-74.1114927076043, 40.6240518709113)
"66",5210502,"European hornbeam","Carpinus betulus",6,28.2575000227428,21.1339426093684,"2531 TIEMANN AVENUE",c(-73.8379646741654, 40.8636114092559)
"67",4676218,"Littleleaf linden","Tilia cordata",22,40.2654387967208,34.1772538799074,"1438 78 STREET",c(-74.0058603635058, 40.616568585919)
"68",2552664,"Kentucky coffeetree","Gymnocladus dioicus",6,33.1133722391674,17.5097,"2049 CHATTERTON AVENUE",c(-73.854460336574, 40.827765526216)
"69",1428737,"Pin oak","Quercus palustris",4,27.6473074125376,14.4835,"1831 MADISON AVENUE",c(-73.943360553486, 40.8020128874582)
"70",4679459,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"1699 E 52 STREET",c(-73.924836634711, 40.6179741994061)
"71",4681036,"London planetree","Platanus x acerifolia",31,79.5223245401372,54.0277,"217-003 64 AVENUE",c(-73.7595817585604, 40.7462882636243)
"72",4587303,"Silver maple","Acer saccharinum",30,71.6818101781503,47.7717282894706,"2541 HOLLERS AVENUE",c(-73.8185132952821, 40.8877851958622)
"73",4693876,"Norway maple","Acer platanoides",19,51.383064470232,37.1715,"73-03 JUNIPER VALLEY ROAD",c(-73.8821040353973, 40.7148482581846)
"74",10684875,"Kentucky coffeetree","Gymnocladus dioicus",3,22.1455056861358,12.3539,"1546 EAST 96 STREET",c(-73.8929450749123, 40.6354771645496)
"75",13874871,"Red maple","Acer rubrum",3,25.9442778260388,13.1018,"101-13 MARTENSE AVENUE",c(-73.8577027064657, 40.7393588382133)
"76",1411192,"Northern catalpa","Catalpa speciosa",3,20.922034056352,13.7340192136783,"69-43 167 STREET",c(-73.802012908476, 40.7315473187151)
"77",592751,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"6112 LIEBIG AVENUE",c(-73.9012612457175, 40.9102822420505)
"78",4683646,"Green ash","Fraxinus pennsylvanica",25,70.5249273087452,41.0763580618266,"502 AVENUE J",c(-73.9717973585841, 40.6237127138452)
"79",1060528,"Red maple","Acer rubrum",2,20.6633895253317,11.084,"1078 EAST 9 STREET",c(-73.9667510197819, 40.6226573659294)
"80",2180317,"Pin oak","Quercus palustris",31,95.9973725292706,50.6068,"79-02 24 AVENUE",c(-73.8896329753641, 40.7645961501437)
"81",4129741,"Callery pear","Pyrus calleryana",13,31.6564,26.3708,"67-14 49 AVENUE",c(-73.8971110922083, 40.7376578692995)
"82",1501941,"Callery pear","Pyrus calleryana",23,47.9224,44.1088,"2884 SCHLEY AVENUE",c(-73.820847614539, 40.8241226221228)
"83",158519,"Thornless honeylocust","Gleditsia triacanthos var. inermis",4,26.1697783580996,14.1413,"407 EAST 87 STREET",c(-73.9482270758194, 40.7772686733242)
"84",2588170,"Norway maple","Acer platanoides",11,40.1051885688552,26.4147,"87-05 166 STREET",c(-73.7972623848021, 40.7109148811671)
"85",3758876,"Norway maple","Acer platanoides",11,40.1051885688552,26.4147,"120-01 LONG STREET",c(-73.7824160985786, 40.679869059299)
"86",1114104,"Siberian elm","Ulmus pumila",28,80.7504672518061,49.8481,"164-08 92 STREET",c(-73.838727644353, 40.6503647730961)
"87",2920496,"Callery pear","Pyrus calleryana",13,31.6564,26.3708,"20 STONECREST COURT",c(-74.1454068412097, 40.5520260007993)
"88",12378327,"Swamp white oak","Quercus bicolor",3,24.3611,11.2373,"1981 SEDGWICK AVENUE",c(-73.9161692138645, 40.8567863203836)
"89",5449240,"Persian ironwood","Parrotia persica",5,37.1791,12.8078,"1 EAST 91 STREET",c(-73.9578556034161, 40.7846202537658)
"90",2939654,"Callery pear","Pyrus calleryana",8,23.5234,17.5018,"134 KENILWORTH AVENUE",c(-74.1852383978805, 40.5624373814144)
"91",1397614,"Japanese flowering cherry","Prunus serrulata",4,24.6579,13.2772,"89-71 215 PLACE",c(-73.7470666210875, 40.7251706884446)
"92",2492069,"London planetree","Platanus x acerifolia",20,62.9871033246594,40.8673,"45-18 41 STREET",c(-73.923512031139, 40.7428907152671)
"93",593985,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"513 WEST 207 STREET",c(-73.9190585107426, 40.8649181846334)
"94",4699113,"Sugar maple","Acer saccharum",26,74.9791092937514,40.6867,"228-01 56 AVENUE",c(-73.752306444413, 40.7549243261044)
"95",3757968,"Callery pear","Pyrus calleryana",9,25.15,19.2756,"280 VANDERBILT AVENUE",c(-73.9690076926936, 40.6889252459419)
"96",2626015,"Sweetgum","Liquidambar styraciflua",9,54.185,18.7934,"47 WINTER AVENUE",c(-74.0837085065936, 40.6389933906806)
"97",2930642,"Callery pear","Pyrus calleryana",9,25.15,19.2756,"21 WILBUR STREET",c(-74.195799633771, 40.515115651588)
"98",4648330,"American basswood","Tilia americana",13,54.1262,25.3824,"78-11 220 PLACE",c(-73.7513462950505, 40.7365625552658)
"99",2602919,"Eastern redbud","Cercis canadensis",10,44.5414576463285,23.4209,"230 STREET MARKS PLACE",c(-74.0798882793798, 40.6442770775966)
"100",3755627,"Pin oak","Quercus palustris",16,64.2162750647063,32.5183,"379 DEKALB AVENUE",c(-73.9625633851612, 40.6900788782166)
"101",2492757,"London planetree","Platanus x acerifolia",35,84.8249425935068,57.7933,"47-33 39 STREET",c(-73.9267185773998, 40.7411142010178)
"102",6508499,"Norway maple","Acer platanoides",20,52.5920523767942,38.2695,"1333 CARROLL STREET",c(-73.9437997821817, 40.6668092826062)
"103",2638140,"Callery pear","Pyrus calleryana",11,28.4032,22.8232,"487 POMPEY AVENUE",c(-74.1731542193483, 40.543527994139)
"104",12944521,"Silver linden","Tilia tomentosa",3,20.892418398207,9.8384,"0 CROTONA AVENUE",c(-73.8952897226248, 40.84039982801)
"105",4601646,"Goldenrain tree","Koelreuteria paniculata",4,27.9634427367734,14.0758,"4390 KATONAH AVENUE",c(-73.867957784807, 40.9016800716428)
"106",3756146,"Norway maple","Acer platanoides",13,43.2608486894137,29.4327,"130-14 227 STREET",c(-73.7403516605604, 40.6818513942499)
"107",4629366,"Japanese flowering cherry","Prunus serrulata",8,39.1027,19.5448,"1726 E 36 STREET",c(-73.9362874910007, 40.6141685978392)
"108",15941181,"Eastern redbud","Cercis canadensis",3,22.1455056861358,12.3539,"245 YETMAN AVENUE",c(-74.2442130305098, 40.5104801607894)
"109",16241965,"London planetree","Platanus x acerifolia",3,22.9622571912467,12.4365,"1736 62 STREET",c(-73.9897624911161, 40.6216735927371)
"110",2637844,"Callery pear","Pyrus calleryana",15,34.9096,29.9184,"47 CHESEBROUGH STREET",c(-74.1676867087376, 40.5455480589813)
"111",2409368,"Amur maackia","Maackia amurensis",6,33.1133722391674,17.5097,"1247 EAST 84 STREET",c(-73.903900119409, 40.6315700275159)
"112",154874,"White ash","Fraxinus americana",26,75.9818,42.6748,"242-19 83 AVENUE",c(-73.7243256028401, 40.7358450432272)
"113",3985148,"Japanese tree lilac","Syringa reticulata",5,17.1762365391894,9.30069679775496,"221-07 113 AVENUE",c(-73.7358435887045, 40.7040024966779)
