"","tree_id","species_common","species_scientific","stump_diameter","height","crown_diameter","closest_address","geometry"
"20176",2423717,"London planetree","Platanus x acerifolia",29,76.7508646321871,51.9409,"1143 BLAKE AVENUE",c(-73.8754698189244, 40.6706916225097)
"20177",5790969,"American basswood","Tilia americana",6,33.8143,15.3444,"2065 MAYFLOWER AVENUE",c(-73.8338210060819, 40.8536834075823)
"20178",11803360,"London planetree","Platanus x acerifolia",3,22.9622571912467,12.4365,"143-26 101 AVENUE",c(-73.8066459000869, 40.6954505117567)
"20179",4689304,"Callery pear","Pyrus calleryana",10,26.7766,21.0494,"129-04 150 AVENUE",c(-73.8119389080347, 40.6650910425953)
"20180",10618893,"Pin oak","Quercus palustris",3,23.2114666861234,12.8376,"2211 EMMONS AVENUE",c(-73.946044192256, 40.5837392698247)
"20181",5790402,"Kentucky coffeetree","Gymnocladus dioicus",6,33.1133722391674,17.5097,"4178 OCEAN AVENUE",c(-73.9474811039989, 40.5785989200151)
"20182",2615079,"Silver linden","Tilia tomentosa",10,34.968438684069,20.701,"231 AMBER STREET",c(-74.1354680060216, 40.5680678495311)
"20183",4022200,"Green ash","Fraxinus pennsylvanica",22,66.1455614705678,38.0056792744969,"88-16 214 STREET",c(-73.7512933540435, 40.7256108244601)
"20184",1405537,"Thornless honeylocust","Gleditsia triacanthos var. inermis",16,58.5107497863377,30.2237,"432 LEWIS AVENUE",c(-73.9348792800988, 40.6805257143548)
"20185",12914394,"Chokecherry","Prunus virginiana",3,20.8856373438115,10.1142070002306,"598 SNEDIKER AVENUE",c(-73.8986435463075, 40.6601359911493)
"20186",3877339,"London planetree","Platanus x acerifolia",33,82.2112679165195,55.9785,"134-01 107 AVENUE",c(-73.8108072025746, 40.6879202732309)
"20187",2610522,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"345 KATAN AVENUE",c(-74.15791825563, 40.5518283200557)
"20188",10836516,"Cornelian cherry dogwood","Cornus mas",3,18.8735240397453,13.3205278350565,"88-07 241 STREET",c(-73.7260908130872, 40.7295308004732)
"20189",3744935,"Red maple","Acer rubrum",9,48.06730206779,23.8016,"162 TERRACE PLACE",c(-73.9761232017993, 40.6554763583417)
"20190",3650807,"Pin oak","Quercus palustris",15,61.7456617049675,31.1364,"424 3 STREET",c(-73.9813805325598, 40.671866403274)
"20191",3356618,"Littleleaf linden","Tilia cordata",11,30.3303523136009,24.0220238522417,"37-05 79 STREET",c(-73.8870492414773, 40.7491105269022)
"20192",2244101,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"4090 THROGS NECK EXPRESSWAY SR",c(-73.8117311101163, 40.8191675957074)
"20193",4661038,"Green ash","Fraxinus pennsylvanica",18,59.8129047747926,33.6417533404415,"246 LEGION STREET",c(-73.9167628054967, 40.6626647481904)
"20194",2626902,"London planetree","Platanus x acerifolia",28,75.3315907697914,50.8465,"87 CEBRA AVENUE",c(-74.0841043893255, 40.6329079058533)
"20195",1425335,"London planetree","Platanus x acerifolia",16,55.9377766297601,35.0617,"344 WEST 122 STREET",c(-73.95455288204, 40.8090553185413)
"20196",17363826,"Silver linden","Tilia tomentosa",7,30.0198959977078,16.2148,"2107 57 STREET",c(-73.9786214891213, 40.6195997430106)
"20197",16970227,"Eastern redbud","Cercis canadensis",4,26.1697783580996,14.1413,"80 BAY 43 STREET",c(-73.986792589782, 40.5937148051254)
"20198",2243044,"Pin oak","Quercus palustris",24,82.1657808041693,42.7815,"322 REVERE AVENUE",c(-73.8184616851103, 40.8192744542134)
"20199",4691722,"Pin oak","Quercus palustris",14,59.209556171167,29.7325,"155-14 81 STREET",c(-73.8527021835147, 40.6638302197205)
"20200",2250468,"Pin oak","Quercus palustris",12,53.9131680033124,26.8587,"2459 DEVOE TERRACE",c(-73.9056603956271, 40.8645319844555)
"20201",3703436,"Japanese zelkova","Zelkova serrata",5,29.2413917425441,15.3751,"157 MARISA CIRCLE",c(-74.2164437302316, 40.5385221126866)
"20202",580532,"Pin oak","Quercus palustris",6,35.3751848483122,17.7093,"405 ORIENTAL BOULEVARD",c(-73.9500740837997, 40.577189247071)
"20203",16434590,"Miyabe maple","Acer miyabei",3,23.8492392151851,12.0888,"189-001 42 AVENUE",c(-73.7920653568854, 40.7592435990621)
"20204",2495502,"London planetree","Platanus x acerifolia",35,84.8249425935068,57.7933,"14-05 145 PLACE",c(-73.8213524381711, 40.7868197764844)
"20205",4208403,"Japanese flowering cherry","Prunus serrulata",4,24.6579,13.2772,"84-50 169 STREET",c(-73.7959994040971, 40.7146180883592)
"20206",2119745,"Japanese pagoda tree","Styphnolobium japonicum",10,44.5414576463285,23.4209,"2032 MADISON AVENUE",c(-73.9388724149316, 40.8081889717118)
"20207",2267041,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"83 EAST GUN HILL ROAD",c(-73.8796997817195, 40.8817390363758)
"20208",3986874,"Pin oak","Quercus palustris",18,68.9827857525978,35.2161,"122-20 135 AVENUE",c(-73.8172901432813, 40.6696066005691)
"20209",4705113,"Common hackberry","Celtis occidentalis",22,76.6958981777282,32.1182,"94-11 75 STREET",c(-73.864200124294, 40.6835107064618)
"20210",2506764,"Tree of heaven","Ailanthus altissima",7,35.6708,19.9759,"1388 DICKENS STREET",c(-73.7607674581521, 40.6090597887373)
"20211",2925622,"Thornless honeylocust","Gleditsia triacanthos var. inermis",18,62.6505066488933,31.9409,"1625 BATHGATE AVENUE",c(-73.9007544242295, 40.8402427216034)
"20212",4644155,"Norway maple","Acer platanoides",13,43.2608486894137,29.4327,"157 36 21 AVENUE",c(-73.8044640781213, 40.7790851279296)
"20213",2431562,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"226 21 STREET",c(-73.993951852496, 40.6616516888568)
"20214",2251188,"Green ash","Fraxinus pennsylvanica",17,58.1227115554945,32.4930776257286,"2700 WESTERVELT AVENUE",c(-73.8398077119304, 40.8654364646802)
"20215",4139568,"Japanese pagoda tree","Styphnolobium japonicum",14,54.1473413361007,28.2313,"78-28 160 STREET",c(-73.8077386008473, 40.7217060655078)
"20216",13905198,"Miyabe maple","Acer miyabei",3,23.8492392151851,12.0888,"117-65 123 STREET",c(-73.8149547819099, 40.6733028342702)
"20217",2630677,"Japanese flowering cherry","Prunus serrulata",5,28.5709,14.9422,"14 MACORMAC PLACE",c(-74.1688271024666, 40.6366107685306)
"20218",16241981,"Eastern redbud","Cercis canadensis",3,22.1455056861358,12.3539,"1249 EAST 9 STREET",c(-73.9659354303602, 40.6184905325193)
"20219",4125091,"Northern red oak","Quercus rubra",2,21.0885,10.067,"30-30 49 STREET",c(-73.9084547457366, 40.7597215088994)
"20220",2431370,"Red maple","Acer rubrum",4,30.4908617783807,15.0526,"217 23 STREET",c(-73.9953432110876, 40.6606718673598)
"20221",4676391,"Pin oak","Quercus palustris",22,77.9326278081381,40.3477,"154 MACON STREET",c(-73.944818457297, 40.6816260753623)
"20222",206163,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"1297 EAST 52 STREET",c(-73.9259558368983, 40.6286411869125)
"20223",1389717,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"2913 DUDLEY AVENUE",c(-73.8322876497052, 40.8410527761035)
"20224",2494960,"Japanese flowering cherry","Prunus serrulata",14,54.7339,26.9842,"94-10 215 STREET",c(-73.7414765687803, 40.718123426211)
"20225",3649810,"London planetree","Platanus x acerifolia",3,22.9622571912467,12.4365,"303 MARCY AVENUE",c(-73.9547254799259, 40.7040139920588)
"20226",1409763,"Callery pear","Pyrus calleryana",2,13.7638,6.859,"73-06 WOODHAVEN BOULEVARD",c(-73.8596365268502, 40.7104204540942)
"20227",1389717,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"2913 DUDLEY AVENUE",c(-73.8322876497052, 40.8410527761035)
"20228",4007305,"London planetree","Platanus x acerifolia",25,70.9247922292391,47.3593,"182-13 80 ROAD",c(-73.7853364235232, 40.7269199588108)
"20229",2925526,"American basswood","Tilia americana",14,56.3535,26.6604,"636 LAMONT AVENUE",c(-74.1944439443523, 40.5386740147923)
"20230",4654952,"Pin oak","Quercus palustris",20,73.5456019919823,37.8259,NA,c(-73.8818435595402, 40.7213777806694)
"20231",10663739,"Katsura tree","Cercidiphyllum japonicum",10,NA,NA,"80-042 212 STREET",c(-73.7583580766001, 40.7324246534386)
"20232",4056106,"Pin oak","Quercus palustris",8,42.1355799485661,20.8471,"111-05 101 AVENUE",c(-73.8325317485013, 40.6880939227472)
"20233",4698619,"Japanese zelkova","Zelkova serrata",9,40.6397138969537,22.4591,"106 MIDWOOD STREET",c(-73.9574587639874, 40.6596951877457)
"20234",3365680,"Pin oak","Quercus palustris",34,101.542208863745,53.6305,"1715 ASTOR AVENUE",c(-73.8366202842988, 40.858987432855)
"20235",2607140,"Pin oak","Quercus palustris",24,82.1657808041693,42.7815,"4 MINNA STREET",c(-74.0906707465657, 40.5946075346426)
"20236",2551714,"Hawthorn","Crataegus",4,19.555920885986,11.3087243460844,"2613 AVENUE U",c(-73.9447811717914, 40.6003803922694)
"20237",3997501,"Japanese flowering cherry","Prunus serrulata",15,56.6349,27.9952,"80-11 169 STREET",c(-73.7991671768892, 40.7227975737047)
"20238",2112933,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"300 WEST 147 STREET",c(-73.9411809743856, 40.8242111055601)
"20239",17111371,"Black locust","Robinia pseudoacacia",7,41.4559,18.9055,"101-13 97 STREET",c(-73.844024877379, 40.684412862001)
"20240",5788865,"Goldenrain tree","Koelreuteria paniculata",3,23.8492392151851,12.0888,"80-23 251 STREET",c(-73.7190872809049, 40.7424335460327)
"20241",3728973,"Littleleaf linden","Tilia cordata",24,41.5125989665262,35.4520488630447,"415 EAST 238 STREET",c(-73.8649191171111, 40.8999254496967)
"20242",3741043,"Chinese fringetree","Chionanthus retusus",5,33.1186169800013,14.6736,"134-09 158 STREET",c(-73.7787982368974, 40.6716772170048)
"20243",4660668,"London planetree","Platanus x acerifolia",30,78.1474078417684,53.0013,"150-09 HOOVER AVENUE",c(-73.8097764117343, 40.7142985813025)
"20244",4663627,"Silver linden","Tilia tomentosa",12,37.8050641086042,23.5508,"128-20 SUTTER AVENUE",c(-73.8097778885653, 40.6720702185663)
"20245",17037280,"Sweetgum","Liquidambar styraciflua",3,27.2276,9.7448,"19-17 21 ROAD",c(-73.9159962008799, 40.7819706315926)
"20246",4627667,"Pin oak","Quercus palustris",24,82.1657808041693,42.7815,"149-15 85 ROAD",c(-73.8095674129485, 40.7104336018717)
"20247",1418413,"Japanese zelkova","Zelkova serrata",6,32.3846745366871,17.2142,"202 MOTT STREET",c(-73.9955482104985, 40.7213806834867)
"20248",3589345,"Thornless honeylocust","Gleditsia triacanthos var. inermis",12,49.513225689677,25.9637,"111-08 141 STREET",c(-73.8033003635352, 40.6853221058667)
"20249",3612222,"Pin oak","Quercus palustris",35,103.347395659491,54.5944,"147-012 6 AVENUE",c(-73.8213033208358, 40.7943567479295)
"20250",4703168,"Sycamore maple","Acer pseudoplatanus",18,63.1176691935201,35.6795017912275,"211-40 47 AVENUE",c(-73.7698793830943, 40.7563798102343)
"20251",1410925,"Silver linden","Tilia tomentosa",3,20.892418398207,9.8384,"63-033 98 PLACE",c(-73.8580290047476, 40.7318687994493)
"20252",4647062,"Silver maple","Acer saccharinum",35,77.0109730008294,52.1021087929414,"150-58 126 STREET",c(-73.8148916872807, 40.6648625252282)
"20253",4001409,"Ginkgo","Ginkgo biloba",13,53.3966,29.2562,"266-04 82 AVENUE",c(-73.7042663558855, 40.7423689956524)
"20254",2248912,"Littleleaf linden","Tilia cordata",21,39.5986534566211,33.4956937828421,"1712 GARFIELD STREET",c(-73.8683601481999, 40.8428150300847)
"20255",2550803,"London planetree","Platanus x acerifolia",29,76.7508646321871,51.9409,"1961 EAST 23 STREET",c(-73.9491222041282, 40.6028225215272)
"20256",5785965,"Japanese zelkova","Zelkova serrata",8,38.0456693586697,20.7562,"4219 THROGS NECK EXPRESSWAY",c(-73.8073731407072, 40.8194403596685)
"20257",3763039,"Turkish hazelnut","Corylus colurna",11,53.0178430928157,24.5376,"31 NEW YORK AVENUE",c(-73.9468395302315, 40.6790963450343)
"20258",4127462,"London planetree","Platanus x acerifolia",24,69.4013855743737,46.1289,"20-28 150 STREET",c(-73.814328444671, 40.7804463668927)
"20259",4631274,"Silver linden","Tilia tomentosa",10,34.968438684069,20.701,"68-10 CLYDE STREET",c(-73.8519777137926, 40.720665300939)
"20260",1411597,"Japanese zelkova","Zelkova serrata",9,40.6397138969537,22.4591,"138-07 76 AVENUE",c(-73.8226590274465, 40.7219880218524)
"20261",118437,"Japanese flowering cherry","Prunus serrulata",16,58.3347,28.9408,"411 MEDINA STREET",c(-74.1178877945354, 40.5613432418805)
"20262",2487004,"Maple","Acer",9,43.7943422288865,23.1288,"21-37 47 STREET",c(-73.9005871884033, 40.7707680696983)
"20263",4702993,"Northern red oak","Quercus rubra",32,91.4745,51.638,"218-03 HORACE HARDING EXPRESSWAY",c(-73.7596494562108, 40.7485308730395)
"20264",4645318,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"42-18 205 STREET",c(-73.7792949114793, 40.7601612903498)
"20265",4668958,"Pin oak","Quercus palustris",30,94.1028081478543,49.5549,NA,c(-73.8545648548363, 40.7005933773028)
"20266",2602897,"Red maple","Acer rubrum",5,34.5593280327241,16.9364,"605 RENSSELAER AVENUE",c(-74.1944685303828, 40.5409411934922)
"20267",4119138,"Pin oak","Quercus palustris",32,97.8681197273125,51.6367,"85-05 EDGERTON BOULEVARD",c(-73.7869953706045, 40.7169787505875)
"20268",1050074,"Thornless honeylocust","Gleditsia triacanthos var. inermis",13,51.8677187405179,27.1319,"150-19 FOCH BOULEVARD",c(-73.7915314368567, 40.6807176040679)
"20269",5603480,"London planetree","Platanus x acerifolia",2,18.5076652728003,10.4581,"85 LEFFERTS AVENUE",c(-73.9583945070576, 40.6618886090731)
"20270",159675,"Pin oak","Quercus palustris",14,59.209556171167,29.7325,"4396 HYLAN BOULEVARD",c(-74.1545655857044, 40.53363475355)
"20271",4022200,"Green ash","Fraxinus pennsylvanica",22,66.1455614705678,38.0056792744969,"88-16 214 STREET",c(-73.7512178356671, 40.7255447868803)
"20272",228915,"Littleleaf linden","Tilia cordata",22,40.2654387967208,34.1772538799074,"195-007 120 AVENUE",c(-73.7543436286347, 40.6889526750874)
"20273",15869590,"Japanese zelkova","Zelkova serrata",3,21.9665948097271,11.5607,"231-16 UNION TURNPIKE",c(-73.7401577462966, 40.7371691500438)
"20274",13342308,"American basswood","Tilia americana",3,22.5802,10.4574,"115-19 124 STREET",c(-73.814906673574, 40.6776477449514)
"20275",4613391,"Chinese elm","Ulmus parvifolia",3,22.059452975591,11.4914,"875 EAST 35 STREET",c(-73.9428588633801, 40.6332675656423)
"20276",1401059,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"115 WEST 119 STREET",c(-73.9492137946419, 40.8043431424512)
"20277",4703233,"Japanese flowering cherry","Prunus serrulata",2,16.2283,9.751,"151-29 WILLETS PT BOULEVARD",c(-73.811281501885, 40.7776911861918)
"20278",4685756,"Callery pear","Pyrus calleryana",12,30.0298,24.597,"8005 11 AVENUE",c(-74.0149380230393, 40.6199630728608)
"20279",2544370,"London planetree","Platanus x acerifolia",34,83.5271027516812,56.9029,"1638 EAST 46 STREET",c(-73.930957492185, 40.6204675657491)
"20280",3755747,"Paperbark maple","Acer griseum",3,23.8492392151851,12.0888,"3520 AVENUE D",c(-73.9427510893688, 40.6413042494094)
"20281",4610740,"Japanese tree lilac","Syringa reticulata",5,17.1762365391894,9.30069679775496,"58-075 FRESH POND ROAD",c(-73.9022402344457, 40.719437146887)
"20282",4150466,"Norway maple","Acer platanoides",14,44.7391337160695,30.8595,"91-16 85 AVENUE",c(-73.8540937525296, 40.6966814829427)
"20283",4691448,"Eastern redbud","Cercis canadensis",11,47.0748277900302,24.7267,"59-18 57 ROAD",c(-73.9077519181484, 40.7224664208553)
"20284",13429877,"Swamp white oak","Quercus bicolor",3,24.3611,11.2373,"1040 STREET JOHNS PLACE",c(-73.9432480864114, 40.6712610407165)
"20285",4006271,"Japanese zelkova","Zelkova serrata",25,72.0147141928491,43.5311,"149-53 16 ROAD",c(-73.8145001632173, 40.7849095920914)
"20286",1394757,"Goldenrain tree","Koelreuteria paniculata",5,31.63743442462,16.004,"1275 EAST 10 STREET",c(-73.9649306948319, 40.6180428286408)
"20287",13042045,"Sawtooth oak","Quercus acutissima",4,28.3186,13.0521,"83-15 260 STREET",c(-73.7087828968538, 40.7386146848897)
"20288",3648395,"Pin oak","Quercus palustris",16,64.2162750647063,32.5183,"1 TIFFANY PLACE",c(-74.0006706710883, 40.6871782537811)
"20289",4647588,"London planetree","Platanus x acerifolia",9,41.1903395815278,23.5929,"147-59 68 DR",c(-73.8203780898823, 40.7316927103806)
"20290",4702611,"Pin oak","Quercus palustris",3,23.2114666861234,12.8376,"189 OCEAN AVENUE",c(-73.9633345084492, 40.6582781593199)
"20291",4016955,"Thornless honeylocust","Gleditsia triacanthos var. inermis",18,62.6505066488933,31.9409,"191-17 114 DRIVE",c(-73.7614482514517, 40.6967188779023)
"20292",206070,"Pin oak","Quercus palustris",21,75.7596015802869,39.0978,"393 MELBA STREET",c(-74.1242405349376, 40.6022835436706)
"20293",2634195,"Swamp white oak","Quercus bicolor",7,39.3775,18.3189,"285 CHESTERTON AVENUE",c(-74.1256249490131, 40.5571793969005)
"20294",4003410,"Swamp white oak","Quercus bicolor",5,32.1405,14.8373,"150-07 7 AVENUE",c(-73.8155341074537, 40.794910329968)
"20295",2131574,"Thornless honeylocust","Gleditsia triacanthos var. inermis",13,51.8677187405179,27.1319,"700 RIVERSIDE DRIVE",c(-73.9507889669319, 40.828373849713)
"20296",10601040,"American basswood","Tilia americana",3,22.5802,10.4574,"1545 MINFORD PLACE",c(-73.8902822837315, 40.835012793071)
"20297",2936587,"Red maple","Acer rubrum",37,106.283305728795,41.842,"21 CONNECTICUT STREET",c(-74.2508240249532, 40.5069387968524)
"20298",15972061,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"179-09 SELOVER ROAD",c(-73.7644393913419, 40.6830176086572)
"20299",3364727,"Pin oak","Quercus palustris",13,56.6013430881871,28.3066,"970 KENT AVENUE",c(-73.9587330999243, 40.6913758445899)
"20300",2925742,"Littleleaf linden","Tilia cordata",9,27.4540790343332,21.0820175600952,"33 MC CLEAN AVENUE",c(-74.0627260324288, 40.5992841103567)
"20301",2620826,"London planetree","Platanus x acerifolia",32,80.8766315788498,55.0201,"109-64 202 STREET",c(-73.7553806769669, 40.7060548504854)
"20302",4021194,"London planetree","Platanus x acerifolia",24,69.4013855743737,46.1289,"218 94 STREET",c(-74.0353504701751, 40.6184325036367)
"20303",1386170,"London planetree","Platanus x acerifolia",28,75.3315907697914,50.8465,"209-02 42 AVENUE",c(-73.7759616740947, 40.7616699601239)
"20304",2539079,"Hardy rubber tree","Eucommia ulmoides",9,NA,NA,"101 MONITOR STREET",c(-73.9421255435749, 40.7227495822452)
"20305",4151054,"Littleleaf linden","Tilia cordata",14,33.7870004225744,27.5552650304602,"86-02 89 AVENUE",c(-73.856954898659, 40.6893208501502)
"20306",4142443,"Thornless honeylocust","Gleditsia triacanthos var. inermis",15,56.3595857380083,29.2619,"55-02 31 AVENUE",c(-73.9062818031629, 40.7570930398342)
"20307",1439019,"Pin oak","Quercus palustris",18,68.9827857525978,35.2161,"80-15 LEFFERTS BOULEVARD",c(-73.8282811091469, 40.710257180811)
"20308",4130675,"Japanese pagoda tree","Styphnolobium japonicum",7,36.2125683481249,19.0907,"ISLAND 164 STREET",c(-73.8055498846841, 40.7448160213352)
"20309",12236671,"Hackberry","Celtis occidentalis",2,16.7577905336504,9.6082,"245-37 61 AVENUE",c(-73.7321190540376, 40.7566659867844)
"20310",2616941,"Thornless honeylocust","Gleditsia triacanthos var. inermis",6,33.1133722391674,17.5097,"33 BELFAST AVENUE",c(-74.1238692314387, 40.5710206320448)
"20311",2419924,"Japanese flowering cherry","Prunus serrulata",9,42.2109,20.9482,"165 PINE STREET",c(-73.8728336382083, 40.6825708793774)
"20312",4706903,"London planetree","Platanus x acerifolia",21,64.6431073461329,42.2337,"1207 EAST 55 STREET",c(-73.9229491376351, 40.6273683732082)
"20313",3765536,"London planetree","Platanus x acerifolia",9,41.1903395815278,23.5929,"2106 NEEDHAM AVENUE",c(-73.8351176257159, 40.8832868579709)
"20314",2415091,"Norway maple","Acer platanoides",15,46.1607542134736,32.2315,"18 PAERDEGAT 1 STREET",c(-73.9127869829378, 40.6324389757602)
"20315",254048,"Green ash","Fraxinus pennsylvanica",20,63.0583025151475,35.8665847762214,"511 RENSSELAER AVENUE",c(-74.1915278562418, 40.5417750714635)
"20316",993518,"London planetree","Platanus x acerifolia",28,75.3315907697914,50.8465,"961 78 STREET",c(-74.0170893610321, 40.6233525905686)
"20317",2486501,"Japanese pagoda tree","Styphnolobium japonicum",12,49.513225689677,25.9637,"21-66 46 STREET",c(-73.9018687859707, 40.7708048499709)
"20318",2535211,"American basswood","Tilia americana",10,46.4327,21.3144,"250 COLUMBIA STREET",c(-74.0034433103295, 40.683516679174)
"20319",10198902,"Dawn redwood","Metasequoia glyptostroboides",3,13.8979005549141,5.60327369407681,"157-12 22 AVENUE",c(-73.8058026164275, 40.7782063290071)
"20320",2917225,"Hedge maple","Acer campestre",6,34.99486506778,17.8734,"1872 FOREST AVENUE",c(-74.1514639604406, 40.6254416859087)
"20321",4125200,"Japanese zelkova","Zelkova serrata",6,32.3846745366871,17.2142,"23-14 206 STREET",c(-73.7874224733897, 40.7776057259036)
"20322",572056,"Japanese zelkova","Zelkova serrata",11,45.4731186637202,25.7287,"62 MCCLELLAN AVENUE",c(-73.9224354699497, 40.8337680969287)
"20323",4125991,"Norway maple","Acer platanoides",19,51.383064470232,37.1715,"67-10 214 STREET",c(-73.7614553643929, 40.7431109831027)
"20324",11591651,"Silver linden","Tilia tomentosa",3,20.892418398207,9.8384,"85 GELSTON AVENUE",c(-74.0269687902944, 40.6191237184279)
"20325",5323748,"Norway maple","Acer platanoides",29,62.2421192735821,45.6855,"3296 AGAR PLACE",c(-73.8183894428526, 40.8391268990137)
"20326",13211376,"Eastern redbud","Cercis canadensis",2,17.501780587261,10.4977,"10 KENSINGTON AVENUE",c(-74.0783206213367, 40.5980915322772)
"20327",1383571,"Japanese flowering cherry","Prunus serrulata",7,35.7933,18.076,"97-04 72 ROAD",c(-73.8472368393681, 40.7098749258234)
"20328",193002,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"595 17 STREET",c(-73.9788764550162, 40.6562234779749)
"20329",3606260,"Northern red oak","Quercus rubra",32,91.4745,51.638,"110-29 167 STREET",c(-73.7850745118987, 40.6940233919778)
"20330",16666367,"Crabapple","Malus",3,15.2085130990413,12.2771267145965,"402 RIDGEWOOD AVENUE",c(-73.8740800374514, 40.6850672497637)
"20331",5320917,"Purple leaf plum","Prunus cerasifera",6,32.2827,16.5418,"1460 KENNELWORTH PLACE",c(-73.8223496323125, 40.8434697139681)
"20332",1059371,"London planetree","Platanus x acerifolia",33,82.2112679165195,55.9785,"1147 EAST 19 STREET",c(-73.9570033498742, 40.6225306173212)
"20333",17429527,"Japanese zelkova","Zelkova serrata",3,21.9665948097271,11.5607,"108 CHESTNUT STREET",c(-73.8760229055345, 40.6853767746814)
"20334",4143322,"Silver linden","Tilia tomentosa",13,39.122014338915,24.9334,"129-03 142 STREET",c(-73.7982896917937, 40.6718118541763)
"20335",4017474,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"93-20 240 STREET",c(-73.7275853202302, 40.7240475503005)
"20336",2929561,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"452 WOOLLEY AVENUE",c(-74.1411448768018, 40.6126997522781)
"20337",2429782,"Japanese flowering cherry","Prunus serrulata",19,62.2269,31.3852,"2401 AVENUE O",c(-73.9500934230238, 40.6139366239157)
"20338",4130447,"Green ash","Fraxinus pennsylvanica",14,52.7301422266944,28.8762380738771,"2041 EAST 36 STREET",c(-73.9305191395138, 40.6090187651251)
"20339",734622,"Callery pear","Pyrus calleryana",8,23.5234,17.5018,"716 LAMONT AVENUE",c(-74.1968488172728, 40.5379864569324)
"20340",1447604,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"23-11 31 AVENUE",c(-73.9281779357954, 40.7665479466407)
"20341",2407567,"Japanese zelkova","Zelkova serrata",11,45.4731186637202,25.7287,"1764 EAST 12 STREET",c(-73.9608203943838, 40.6064337667394)
"20342",4627667,"Pin oak","Quercus palustris",24,82.1657808041693,42.7815,"149-15 85 ROAD",c(-73.8095674129485, 40.7104336018717)
"20343",1401609,"Siberian elm","Ulmus pumila",21,67.5065156906581,38.0706,"652 JEWETT AVENUE",c(-74.1318039826909, 40.6210193396545)
"20344",5010610,"Japanese pagoda tree","Styphnolobium japonicum",5,29.7883615251004,15.8599,"231 JEFFERSON AVENUE",c(-73.9484044535054, 40.6834804608626)
"20345",4680453,"Pin oak","Quercus palustris",26,86.2626649786157,45.1273,"21-85 34 AVENUE",c(-73.9312227858742, 40.7615296697288)
"20346",4672922,"Japanese maple","Acer palmatum",10,22.0896890189274,23.757,"163-27 24 AVENUE",c(-73.799833528018, 40.7760058099667)
"20347",10810078,"Sweetgum","Liquidambar styraciflua",3,27.2276,9.7448,"58-16 192 STREET",c(-73.784606604155, 40.7428629173158)
"20348",4695916,"Norway maple","Acer platanoides",14,44.7391337160695,30.8595,"162-08 90 STREET",c(-73.8413978867107, 40.6534618616966)
"20349",1453413,"Japanese zelkova","Zelkova serrata",11,45.4731186637202,25.7287,"29-15 24 AVENUE",c(-73.9160727831274, 40.7727785609316)
"20350",15866055,"Japanese flowering cherry","Prunus serrulata",3,20.5437,11.5468,"119-61 MERRILL STREET",c(-73.7717768980092, 40.684006793074)
"20351",6423624,"Silver linden","Tilia tomentosa",2,17.5653526758194,8.1738,"819 EAST 170 STREET",c(-73.8951849616003, 40.8334885474205)
"20352",2241851,"Callery pear","Pyrus calleryana",10,26.7766,21.0494,"600 ELLSWORTH AVENUE",c(-73.8156956017413, 40.8265902418161)
"20353",13471852,"Red maple","Acer rubrum",3,25.9442778260388,13.1018,"56 BERGEN STREET",c(-73.9912380269654, 40.6870242149954)
"20354",3650893,"Callery pear","Pyrus calleryana",8,23.5234,17.5018,"155-01 71 AVENUE",c(-73.8139595904722, 40.7302415198816)
"20355",16199222,"River birch","Betula nigra",3,25.2833100451399,10.997,"398 BEACH 13 STREET",c(-73.7470468189675, 40.6001674281922)
"20356",15904202,"Bur oak","Quercus macrocarpa",2,20.268,9.3929,"63-93 WOODHAVEN BOULEVARD",c(-73.8667198769327, 40.7216631910928)
"20357",2559999,"Thornless honeylocust","Gleditsia triacanthos var. inermis",14,54.1473413361007,28.2313,"1229 BEACH AVENUE",c(-73.8661182564997, 40.8307851149465)
"20358",3712627,"Callery pear","Pyrus calleryana",8,23.5234,17.5018,"228 GROSVENOR STREET",c(-73.7505385360159, 40.7778638949132)
"20359",2431562,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"226 21 STREET",c(-73.9940059152171, 40.6616846290372)
"20360",3989607,"London planetree","Platanus x acerifolia",31,79.5223245401372,54.0277,"71 78 STREET",c(-74.0352958130821, 40.6308719119347)
"20361",4627917,"Pin oak","Quercus palustris",33,99.7160798804373,52.6446,"61-67 69 STREET",c(-73.8898184696207, 40.7179327788442)
"20362",4630026,"Norway maple","Acer platanoides",12,41.7190006044185,27.9511,"2067 EAST 38 STREET",c(-73.9286673202854, 40.6096077618663)
