level,taxon,model,B0,B1,B2,,,,,
Genus,Phellodendron,B0 + (DBH * B1),12.0006,2.4973,,,,,,
Genus,Picea,e^(B0 + (ln(DBH) * B1)),1.9897,0.7152,,,,,,
Genus,Pinus,B0 + (DBH * B1) + (DBH^2 * B2),2.4132,5.9575,-0.1103,,,,,
Genus,Populus,B0 + (DBH * B1) + (DBH^2 * B2),4.8743,5.8071,-0.119,,,,,
Genus,Prunus,B0 + (DBH * B1) + (DBH^2 * B2),6.9939,4.8184,-0.1006,,,,,
Genus,Pyrus,B0 + (DBH * B1),10.7232,1.5314,,,,,,
Genus,Quercus,B0 + (DBH * B1) + (DBH^2 * B2),11.675,4.4321,-0.0678,,,,,
Genus,Rhus,e^(B0 + (ln(DBH) * B1)),2.3635,0.4713,,,,,,
Genus,Robinia,e^(B0 + (ln(DBH) * B1)),2.477,0.624,,,,,,
Genus,Salix,e^(B0 + (ln(DBH) * B1)),2.4928,0.5078,,,,,,
Genus,Sassafras,B0 + (DBH * B1) + (DBH^2 * B2),5.9816,6.2457,-0.1651,,,,,
Genus,Syringa,e^(B0 + (ln(DBH) * B1)),2.5968,0.1533,,,,,,
Genus,Thuja,B0 + (DBH * B1),5.5987,2.2494,,,,,,
Genus,Tsuga,B0 + (DBH * B1) + (DBH^2 * B2),1.1086,5.1392,-0.1033,,,,,
Genus,Ulmus,e^(B0 + (ln(DBH) * B1)),2.4772,0.5612,,,,,,
Genus,Ginkgo,B0 + (B1 * DBH) - (B2 * DBH^2),16.604,3.683,0.0656,,,,,
Genus,Ilex,B0 + (DBH * B1) + (DBH^2 * B2),4.1301,3.8555,-0.1097,,,,,
Genus,Viburnum,e^(B0 + (ln(DBH) * B1)),2.4026,0.1505,,,,,,
Species,Acer negundo,e^(B0 + (ln(DBH) * B1)),2.479,0.5371,,,,,,
Species,Acer palmatum,e^(B0 + (ln(DBH) * B1)),2.0076,0.4723,,,,,,
