species_scientific
Platanus x acerifolia
Aesculus hippocastanum
Parrotia persica
Ostrya virginiana
Gleditsia triacanthos var. inermis
Ginkgo biloba
Quercus palustris
Quercus rubra
Prunus serrulata
Tilia cordata
Tilia tomentosa
Quercus bicolor
Tilia americana
Acer rubrum
Zelkova serrata
Styphnolobium japonicum
Liquidambar styraciflua
Acer campestre
Ulmus americana
Prunus cerasifera
