storm_event_id,storm_date,storm_name,storm_event_type,storm_issues,storm_location,storm_duration
SW2985,10/5/2023 04:30 PM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Coastal Flooding","Manhattan, Bronx, Brooklyn, Queens, Staten Island","2 days, 15 hours"
SW2986,11/21/2023 04:30 PM,Flash Flood Emergency,Tidal Flooding,"Coastal Flooding, Flash Flooding",,"17 hours, 30 minutes"
SW2987,12/7/2023 04:00 PM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Coastal Flooding",,"3 days, 21 hours"
SW2988,12/18/2023 06:00 AM,Flash Flood Emergency,Tidal Flooding,"Coastal Flooding, Flash Flooding, High Winds","Staten Island, Queens, Brooklyn, Bronx, Manhattan","5 hours, 59 minutes"
SW2989,1/9/2024 06:00 AM,Winter Weather Emergency,"Tidal Flooding, Winter Weather","Flash Flooding, Coastal Flooding","Manhattan, Bronx, Brooklyn, Queens, Staten Island",1 day
SW2990,1/15/2024 12:00 AM,Winter Weather Emergency,Winter Weather,"Extreme Cold, Freezing Precipitation, Heavy Snow","Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 23 hours"
SW2991,1/18/2024 12:00 AM,Winter Weather Emergency,Winter Weather,Coastal Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","2 days, 8 hours"
SW2992,3/23/2024 12:00 AM,Flash Flood Event,Other,"Coastal Flooding, Flash Flooding, High Winds","Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 23 hours"
SW2993,4/1/2023 04:00 PM,Severe Weather,Thunderstorms,High Winds,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","7 hours, 59 minutes"
SW2994,2/13/2024 04:00 AM,Winter Weather,Winter Weather,High Winds,"Staten Island, Queens, Brooklyn, Bronx, Manhattan",12 hours
SW2995,2/17/2024 12:00 AM,Winter Weather,Winter Weather,High Winds,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","23 hours, 59 minutes"
SW2996,3/6/2024 01:00 PM,Flash Flooding,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan",17 hours
SW2997,3/9/2024 12:00 AM,Flash Flooding,Thunderstorms,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","1 day, 23 hours"
SW2998,4/3/2024 12:00 AM,Flash Flooding,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 11 hours"
SW3001,9/8/2023 12:00 PM,Flash Flood Emergency,Tidal Flooding,"Coastal Flooding, Flash Flooding","Manhattan, Bronx, Brooklyn, Queens, Staten Island","5 days, 19 hours"
SW3002,6/14/2024 12:01 AM,Severe Weather,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 23 hours"
SW3004,6/30/2024 12:00 AM,Severe Wether,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","23 hours, 59 minutes"
SW3007,8/6/2024 02:00 PM,Flash Flooding,Thunderstorms,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island",22 hours
SW3008,8/9/2024 12:00 AM,Flash Flooding,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","23 hours, 59 minutes"
SW3009,1/19/2025 12:00 AM,Snow,Winter Weather,Heavy Snow,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","23 hours, 59 minutes"
SW3014,10/13/2025 12:00 AM,Flash Flooding,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","23 hours, 59 minutes"
SW3015,10/30/2025 12:00 AM,Flash Flooding,Thunderstorms,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","1 day, 23 hours"
SW3016,11/5/2025 09:00 PM,11/5/2025 High Winds,Other,High Winds,"Staten Island, Queens, Brooklyn, Bronx, Manhattan",11 hours
SW3017,12/13/2025 12:00 AM,12/13/25 Winter Weather,Winter Weather,Heavy Snow,"Manhattan, Bronx, Brooklyn, Queens, Staten Island",1 day
SW3018,12/19/2025 12:00 AM,12/19/2025 Flash Flooding,Other,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan",1 day
SW3019,12/23/2025 12:00 AM,12/23/2025 Winter Weather,Winter Weather,Heavy Snow,"Manhattan, Bronx, Brooklyn, Queens, Staten Island",1 day
SW3020,12/26/2025 12:00 AM,12/26/2025 Winter Weather,Winter Weather,Heavy Snow,"Staten Island, Queens, Brooklyn, Bronx, Manhattan",1 day
SW3021,1/17/2026 12:00 AM,1/17/2026 Winter Weather,Winter Weather,Heavy Snow,"Manhattan, Bronx, Brooklyn, Queens, Staten Island",1 day
SW3022,1/25/2026 12:00 AM,1/25/2026 Winter Weather (Winter Storm Fern),Winter Weather,Heavy Snow,"Staten Island, Queens, Brooklyn, Bronx, Manhattan",1 day
SW3024,2/22/2026 12:00 AM,2/22/2026 Winter Weather (Blizzard),Winter Weather,Heavy Snow,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 week, 2 days"
